,Type,Ratio,Times,gid,k,Number of CPU Cores,Memory Constraints,Isolation Level,Lower Bound,Upper Bound
0,CPF,0.472,6.0,1,0,2,0.9,3,144.00731052755538,188.66668201497953
1,CPF,0.4959,9.0,1,0,2,0.9,3,150.77317333386694,190.68002165454405
2,CPF,0.8783,7.0,1,0,2,0.9,3,126.5168249118786,160.50463811333128
3,CPF,0.5375,7.0,1,0,2,0.9,3,147.595100106159,185.0235731291032
4,CPF,0.2277,6.0,1,0,2,0.9,3,135.28770664042685,163.06414125990335
5,CPF,0.523,5.0,1,0,2,0.9,3,144.19951426787418,182.45002183346804
6,CPF,0.7738,5.0,1,0,2,0.9,3,143.99632127439995,172.38122096032035
7,CPF,0.547,7.0,1,0,2,0.9,3,148.44357520349888,181.31346677553427
8,CPF,0.852,7.0,1,0,2,0.9,3,150.76467904789575,180.8686524784709
9,CPF,0.773,6.0,1,0,2,0.9,3,169.95793948441423,200.88132916588316
10,CPF,0.2652,8.0,1,0,2,0.9,3,129.1235017439259,153.83271364289263
11,CPF,0.6403,4.0,1,0,2,0.9,3,154.9588137262345,184.07375551793677
12,CPF,0.6146,6.0,1,0,2,0.9,3,132.6395375663204,173.3606860039948
13,CPF,0.5651,7.0,1,0,2,0.9,3,164.90861471138956,209.60733269607212
14,CPF,0.6835,7.0,1,0,2,0.9,3,166.51064363791963,191.8895228685048
15,CPF,0.549,6.0,1,0,2,0.9,3,135.4059219964289,171.26498451019134
16,CPF,0.7844,7.0,1,0,2,0.9,3,134.29978051068647,163.14664013655226
17,CPF,0.519,8.0,1,0,2,0.9,3,148.19473230739916,185.47990343475797
18,CPF,0.3975,5.0,1,0,2,0.9,3,130.39258224945672,158.9438185510836
19,CPF,0.6138,8.0,1,0,2,0.9,3,156.3640324873923,202.21346886905104
20,CPF,0.5377,10.0,1,0,2,0.9,3,146.7959900118333,189.58553166061157
21,CPF,0.6312,6.0,1,0,2,0.9,3,140.40560668294796,179.56857542424072
22,CPF,0.6345,9.0,1,0,2,0.9,3,157.76549286364803,193.06457158647635
23,CPF,0.7167,5.0,1,0,2,0.9,3,128.69445036811896,158.57173298963164
24,CPF,0.4458,7.0,1,0,2,0.9,3,142.325479542288,177.02945338758497
25,CPF,0.685,6.0,1,0,2,0.9,3,138.80833798921321,170.44560280119896
26,CPF,0.5649,5.0,1,0,2,0.9,3,139.77156591997976,174.38338474850485
27,CPF,0.6098,7.0,1,0,2,0.9,3,173.8587633587929,212.75092749142308
28,CPF,0.4868,7.0,1,0,2,0.9,3,161.7631282129069,199.86230388650452
29,CPF,0.6667,8.0,1,0,2,0.9,3,141.0144510736899,179.54179504706497
30,CPF,0.794,8.0,1,0,2,0.9,3,149.69805763895423,179.12440365688292
31,CPF,0.4513,7.0,1,0,2,0.9,3,128.16823669822313,156.33770715687797
32,CPF,0.2785,6.0,1,0,2,0.9,3,126.54730411794169,162.00922100375783
33,CPF,0.7237,5.0,1,0,2,0.9,3,137.57149915626394,166.20106074441833
34,CPF,0.5673,7.0,1,0,2,0.9,3,151.92998094764062,186.2178681947389
35,CPF,0.5079,4.0,1,0,2,0.9,3,146.66541509991032,188.01033793958374
36,CPF,0.5675,4.0,1,0,2,0.9,3,168.97219806171205,213.57916557572676
37,CPF,0.6279,6.0,1,0,2,0.9,3,163.94050164023446,215.23783563199626
38,CPF,0.7915,7.0,1,0,2,0.9,3,129.02511890637038,160.73715054964194
39,CPF,0.634,7.0,1,0,2,0.9,3,161.59789211312503,195.28210307906548
40,CPF,0.5151,5.0,1,0,2,0.9,3,129.63068371349874,161.40838873518942
41,CPF,0.6508,7.0,1,0,2,0.9,3,157.95928616934307,187.66992567868374
