,Type,Ratio,Times,gid,k,Number of CPU Cores,Memory Constraints,Isolation Level
0,CPF,0.5257,5.0,1,0,2,0.9,3
1,ICRB,0.4284,6.0,1,0,2,0.9,3
2,STO,0.6167,3.0,1,0,2,0.9,3
3,Rand,0.7273,7.0,1,0,2,0.9,3
4,CPF,0.4793,8.0,1,1,3,0.9,3
5,ICRB,0.5898,10.0,1,1,3,0.9,3
6,STO,0.8197,6.0,1,1,3,0.9,3
7,Rand,0.751,8.0,1,1,3,0.9,3
8,CPF,0.6356,5.0,1,2,4,0.9,3
9,ICRB,0.6245,8.0,1,2,4,0.9,3
10,STO,0.6833,3.0,1,2,4,0.9,3
11,Rand,0.8846,9.0,1,2,4,0.9,3
12,CPF,0.755,7.0,1,3,5,0.9,3
13,ICRB,0.4496,9.0,1,3,5,0.9,3
14,STO,0.8365,4.0,1,3,5,0.9,3
15,Rand,0.8875,11.0,1,3,5,0.9,3
16,CPF,0.779,8.0,1,4,6,0.9,3
17,ICRB,0.781,8.0,1,4,6,0.9,3
18,STO,0.7008,4.0,1,4,6,0.9,3
19,Rand,0.8782,10.0,1,4,6,0.9,3
20,CPF,0.3639,6.0,1,5,4,1.0,3
21,ICRB,0.6784,7.0,1,5,4,1.0,3
22,STO,0.6013,4.0,1,5,4,1.0,3
23,Rand,0.7334,6.0,1,5,4,1.0,3
24,CPF,0.5506,6.0,1,6,4,0.95,3
25,ICRB,0.5683,8.0,1,6,4,0.95,3
26,STO,0.8647,4.0,1,6,4,0.95,3
27,Rand,0.6399,10.0,1,6,4,0.95,3
28,CPF,0.6894,7.0,1,7,4,0.85,3
29,ICRB,0.5818,8.0,1,7,4,0.85,3
30,STO,0.504,5.0,1,7,4,0.85,3
31,Rand,0.891,9.0,1,7,4,0.85,3
32,CPF,0.3782,7.0,1,8,4,0.8,3
33,ICRB,0.5721,9.0,1,8,4,0.8,3
34,STO,0.7011,4.0,1,8,4,0.8,3
35,Rand,0.8141,10.0,1,8,4,0.8,3
