Type,Total Pct.,Calculation Pct.,EDER,DOR,gid,Case,Number of CPU Cores,Memory Constraints,Isolation Level,Lower Bound,Upper Bound
CPF,0.7167,0.5802,0.3731,0.4444,1,0,2,0.9,3,152.5808029950391,185.13321170439917
ICRB,0.7027,0.5641,0.5173,0.5556,1,0,2,0.9,3,152.5808029950391,185.13321170439917
STO,0.714,0.5283,0.8704,0.2222,1,0,2,0.9,3,152.5808029950391,185.13321170439917
Rand,0.7155,0.5351,0.8001,0.6667,1,0,2,0.9,3,152.5808029950391,185.13321170439917
CPF,0.7278,0.5639,0.6209,0.4444,1,0,2,0.9,3,127.95989032916981,156.04291805955657
ICRB,0.7279,0.5869,0.418,0.6667,1,0,2,0.9,3,127.95989032916981,156.04291805955657
STO,0.7374,0.5254,1.0,0.2222,1,0,2,0.9,3,127.95989032916981,156.04291805955657
Rand,0.7376,0.5442,0.8084,0.6667,1,0,2,0.9,3,127.95989032916981,156.04291805955657
CPF,0.7009,0.5417,0.5867,0.3333,1,0,2,0.9,3,146.6650755003108,179.36072497257354
ICRB,0.6976,0.5596,0.4248,0.4444,1,0,2,0.9,3,146.6650755003108,179.36072497257354
STO,0.7022,0.5454,0.5531,0.1111,1,0,2,0.9,3,146.6650755003108,179.36072497257354
Rand,0.7056,0.5546,0.4692,0.2222,1,0,2,0.9,3,146.6650755003108,179.36072497257354
CPF,0.3809,0.2927,0.5407,0.1111,1,1,3,0.9,3,179.01225069478923,217.7345827349711
ICRB,0.3765,0.302,0.3827,0.7778,1,1,3,0.9,3,179.01225069478923,217.7345827349711
STO,0.3802,0.2883,0.6204,0.1111,1,1,3,0.9,3,179.01225069478923,217.7345827349711
Rand,0.3753,0.2804,0.7673,1.0,1,1,3,0.9,3,179.01225069478923,217.7345827349711
CPF,0.4838,0.3701,0.699,0.3333,1,1,3,0.9,3,144.9339639180977,173.15026902123296
ICRB,0.4907,0.3882,0.4277,0.4444,1,1,3,0.9,3,144.9339639180977,173.15026902123296
STO,0.5006,0.3677,0.7376,0.2222,1,1,3,0.9,3,144.9339639180977,173.15026902123296
Rand,0.4935,0.352,1.0,0.5556,1,1,3,0.9,3,144.9339639180977,173.15026902123296
CPF,0.4605,0.3216,0.8167,0.4444,1,1,3,0.9,3,120.03235406534941,154.36024489929002
ICRB,0.4523,0.3342,0.6535,0.5556,1,1,3,0.9,3,120.03235406534941,154.36024489929002
STO,0.4547,0.321,0.825,0.1111,1,1,3,0.9,3,120.03235406534941,154.36024489929002
Rand,0.4517,0.3285,0.7252,0.5556,1,1,3,0.9,3,120.03235406534941,154.36024489929002
CPF,0.3906,0.3077,0.5127,0.3333,1,2,4,0.9,3,125.46337263982251,154.03783212514287
ICRB,0.3943,0.3158,0.3867,0.6667,1,2,4,0.9,3,125.46337263982251,154.03783212514287
STO,0.3919,0.2799,1.0,0.1111,1,2,4,0.9,3,125.46337263982251,154.03783212514287
Rand,0.3957,0.286,0.8847,0.5556,1,2,4,0.9,3,125.46337263982251,154.03783212514287
