gid,core,Maximum memory
1.0,6.0,1.0
1.0,1.0,0.8796084093174107
1.0,2.0,0.9891179917644164
1.0,3.0,1.0
1.0,4.0,1.0
1.0,5.0,1.0
1.0,6.0,1.0
1.0,1.0,0.9091988597513851
1.0,2.0,0.9860975888334068
1.0,3.0,1.0
1.0,4.0,1.0
1.0,5.0,1.0
1.0,6.0,1.0
1.0,1.0,0.9493170049445412
1.0,2.0,1.0
1.0,3.0,1.0
1.0,4.0,1.0
1.0,5.0,1.0
1.0,6.0,1.0
1.0,1.0,0.9088335476055444
1.0,2.0,1.0
1.0,3.0,1.0
1.0,4.0,1.0
1.0,5.0,1.0
1.0,6.0,1.0
1.0,1.0,0.9793237998092612
1.0,2.0,1.0
1.0,3.0,1.0
1.0,4.0,1.0
1.0,5.0,1.0
1.0,6.0,1.0
1.0,1.0,0.9843649231546864
1.0,2.0,1.0
1.0,3.0,1.0
1.0,4.0,1.0
1.0,5.0,1.0
1.0,6.0,1.0
1.0,1.0,0.9098215187778446
1.0,2.0,0.973114368841468
1.0,3.0,1.0
1.0,4.0,1.0
1.0,5.0,1.0
1.0,6.0,1.0
1.0,1.0,0.7887260850895397
1.0,2.0,0.9153877681663464
1.0,3.0,1.0
1.0,4.0,1.0
1.0,5.0,1.0
1.0,6.0,1.0
1.0,1.0,0.7366117507424059
1.0,2.0,0.8786565581571858
1.0,3.0,1.0
1.0,4.0,1.0
1.0,5.0,1.0
1.0,6.0,1.0
1.0,1.0,0.8005611994027909
1.0,2.0,0.9208357670974532
1.0,3.0,1.0
1.0,4.0,1.0
1.0,5.0,1.0
1.0,6.0,1.0
1.0,1.0,0.9151662243460236
1.0,2.0,0.9875482755527056
1.0,3.0,1.0
1.0,4.0,1.0
1.0,5.0,1.0
1.0,6.0,1.0
1.0,1.0,0.8232169256615406
1.0,2.0,0.9592423183157904
1.0,3.0,1.0
1.0,4.0,1.0
1.0,5.0,1.0
1.0,6.0,1.0
1.0,1.0,1.0
1.0,2.0,1.0
1.0,3.0,1.0
1.0,4.0,1.0
1.0,5.0,1.0
1.0,6.0,1.0
1.0,1.0,0.9528016802733308
1.0,2.0,1.0
1.0,3.0,1.0
1.0,4.0,1.0
1.0,5.0,1.0
1.0,6.0,1.0
1.0,1.0,0.8790793142200868
1.0,2.0,1.0
1.0,3.0,1.0
1.0,4.0,1.0
1.0,5.0,1.0
1.0,6.0,1.0
1.0,1.0,1.0
1.0,2.0,1.0
1.0,3.0,1.0
1.0,4.0,1.0
1.0,5.0,1.0
1.0,6.0,1.0
1.0,1.0,0.868114863503269
1.0,2.0,1.0
