Type,Total Pct.,Calculation Pct.,EDER,DOR,Time,Sched Time,gid,Case,Scheduling Algorithm
CPF,0.5015,0.3349,0.5799,0.5,0.006587505340576172,0.004318714141845703,1,1,HEFT
ICRB,0.4934,0.3188,0.7877,0.25,0.00635981559753418,0.004318714141845703,1,1,HEFT
STO,0.498,0.3345,0.5843,0.125,0.006762981414794922,0.004318714141845703,1,1,HEFT
Rand,0.5147,0.3683,0.2078,0.625,0.006610393524169922,0.004318714141845703,1,1,HEFT
CPF,0.5246,0.3503,0.4872,0.375,0.006397247314453125,0.0037550926208496094,1,1,CPOP
ICRB,0.515,0.3327,0.7409,0.25,0.006261587142944336,0.0037550926208496094,1,1,CPOP
STO,0.498,0.3345,0.7133,0.125,0.005984306335449219,0.0037550926208496094,1,1,CPOP
Rand,0.4942,0.3289,0.7995,0.25,0.007043600082397461,0.0037550926208496094,1,1,CPOP
CPF,0.4816,0.3375,0.666,0.375,0.006682872772216797,0.003508329391479492,1,1,HEFT
ICRB,0.4816,0.3375,0.666,0.375,0.006566762924194336,0.003508329391479492,1,1,HEFT
STO,0.4641,0.3356,0.7016,0.125,0.006671905517578125,0.003508329391479492,1,1,HEFT
Rand,0.4446,0.3208,1.0,0.875,0.0059661865234375,0.003508329391479492,1,1,HEFT
CPF,0.4816,0.3375,0.666,0.375,0.008502721786499023,0.005728960037231445,1,1,CPOP
ICRB,0.4816,0.3375,0.666,0.375,0.008225440979003906,0.005728960037231445,1,1,CPOP
STO,0.4641,0.3356,0.7016,0.125,0.00794672966003418,0.005728960037231445,1,1,CPOP
Rand,0.4606,0.3208,1.0,0.875,0.007912158966064453,0.005728960037231445,1,1,CPOP
CPF,0.4577,0.3049,0.5474,0.5,0.006056547164916992,0.0034906864166259766,1,1,HEFT
ICRB,0.4522,0.2896,0.7959,0.25,0.006216526031494141,0.0034906864166259766,1,1,HEFT
STO,0.4514,0.2875,0.8316,0.125,0.00816965103149414,0.0034906864166259766,1,1,HEFT
Rand,0.4564,0.2998,0.6275,0.5,0.005898475646972656,0.0034906864166259766,1,1,HEFT
CPF,0.4577,0.3049,0.7284,0.5,0.006186246871948242,0.0037305355072021484,1,1,CPOP
ICRB,0.4761,0.3049,0.7284,0.25,0.0060405731201171875,0.0037305355072021484,1,1,CPOP
