Type,Total Pct.,Calculation Pct.,EDER,DOR,Time,Heft Time,gid,Case
CPF,0.7591,0.5074,0.548,0.5556,0.004495859146118164,0.0025146007537841797,1,0
ICRB,0.7294,0.4738,0.801,0.6667,0.004332304000854492,0.0025146007537841797,1,0
STO,0.7777,0.4978,0.617,0.2222,0.004159450531005859,0.0025146007537841797,1,0
Rand,0.777,0.4967,0.6254,0.8889,0.004208803176879883,0.0025146007537841797,1,0
SFE,0.0,0.0,0.2732,0.5556,0.0,0.0,1,0
SFD,0.0,0.0,0.6509,0.1111,0.0,0.0,1,0
CPF,0.5498,0.3369,0.6058,0.2222,0.004706621170043945,0.0027201175689697266,1,1
ICRB,0.5341,0.3619,0.3918,0.3333,0.004569292068481445,0.0027201175689697266,1,1
STO,0.5771,0.3583,0.4211,0.1111,0.004404306411743164,0.0027201175689697266,1,1
Rand,0.5253,0.2987,1.0,0.7778,0.004460334777832031,0.0027201175689697266,1,1
SFE,0.0,0.0,0.2613,0.5556,0.0,0.0,1,1
SFD,0.0,0.0,0.4211,0.1111,0.0,0.0,1,1
CPF,0.3798,0.2462,0.7341,0.6667,0.00495457649230957,0.0028586387634277344,1,2
ICRB,0.3605,0.2523,0.6169,0.8889,0.00474858283996582,0.0028586387634277344,1,2
STO,0.3829,0.2497,0.6667,0.3333,0.004577159881591797,0.0028586387634277344,1,2
Rand,0.4069,0.2559,0.5521,0.5556,0.004600048065185547,0.0028586387634277344,1,2
SFE,0.0,0.0,0.401,0.2222,0.0,0.0,1,2
SFD,0.0,0.0,0.401,0.1111,0.0,0.0,1,2
CPF,0.3508,0.2505,0.3149,0.4444,0.006414890289306641,0.00426936149597168,1,3
ICRB,0.3381,0.2406,0.4531,0.5556,0.006201744079589844,0.00426936149597168,1,3
STO,0.3459,0.2261,0.6801,0.1111,0.006010293960571289,0.00426936149597168,1,3
Rand,0.3603,0.2297,0.6203,0.5556,0.006054401397705078,0.00426936149597168,1,3
SFE,0.0,0.0,0.3149,0.4444,0.0,0.0,1,3
SFD,0.0,0.0,0.5612,0.1111,0.0,0.0,1,3
CPF,0.308,0.2311,0.2307,0.5556,0.005368471145629883,0.0032362937927246094,1,4
ICRB,0.2853,0.2084,0.8558,0.4444,0.005206584930419922,0.0032362937927246094,1,4
STO,0.2913,0.215,0.6604,0.1111,0.005021333694458008,0.0032362937927246094,1,4
Rand,0.2924,0.2038,1.0,0.6667,0.005107402801513672,0.0032362937927246094,1,4
SFE,0.0,0.0,0.1442,0.5556,0.0,0.0,1,4
SFD,0.0,0.0,0.6604,0.1111,0.0,0.0,1,4
CPF,0.41,0.2379,0.6131,0.75,0.005013227462768555,0.0029900074005126953,1,5
ICRB,0.3829,0.2186,0.9346,0.375,0.0048868656158447266,0.0029900074005126953,1,5
STO,0.4094,0.2186,0.9346,0.25,0.0047070980072021484,0.0029900074005126953,1,5
Rand,0.4213,0.2248,0.8249,0.75,0.004752635955810547,0.0029900074005126953,1,5
SFE,0.0,0.0,0.6095,0.625,0.0,0.0,1,5
SFD,0.0,0.0,0.9346,0.25,0.0,0.0,1,5
CPF,0.4318,0.2385,0.2343,0.4444,0.00497746467590332,0.002893686294555664,1,6
ICRB,0.3704,0.217,0.609,0.6667,0.00480341911315918,0.002893686294555664,1,6
STO,0.4155,0.2176,0.5974,0.1111,0.004630088806152344,0.002893686294555664,1,6
Rand,0.4178,0.2054,0.8433,0.6667,0.004693031311035156,0.002893686294555664,1,6
SFE,0.0,0.0,0.2343,0.4444,0.0,0.0,1,6
SFD,0.0,0.0,0.5974,0.0,0.0,0.0,1,6
CPF,0.4545,0.3314,0.0,0.2,0.005731105804443359,0.002858400344848633,1,7
ICRB,0.4165,0.2816,0.6381,0.5,0.005593538284301758,0.002858400344848633,1,7
STO,0.447,0.2875,0.5516,0.3,0.005315303802490234,0.002858400344848633,1,7
Rand,0.4518,0.284,0.603,0.4,0.005400419235229492,0.002858400344848633,1,7
SFE,0.0,0.0,0.0,0.2,0.0,0.0,1,7
SFD,0.0,0.0,0.1944,0.1,0.0,0.0,1,7
CPF,0.4154,0.2864,0.2563,0.3,0.004994869232177734,0.002923727035522461,1,8
ICRB,0.3816,0.2757,0.4196,0.3,0.0047876834869384766,0.002923727035522461,1,8
STO,0.4054,0.2717,0.4858,0.3,0.004627227783203125,0.002923727035522461,1,8
Rand,0.3994,0.2541,0.7938,0.5,0.004690885543823242,0.002923727035522461,1,8
SFE,0.0,0.0,0.1902,0.3,0.0,0.0,1,8
SFD,0.0,0.0,0.2294,0.0,0.0,0.0,1,8
CPF,0.8105,0.5205,0.4965,0.3333,0.004564046859741211,0.002619028091430664,1,0
ICRB,0.795,0.5185,0.5067,0.5556,0.004453420639038086,0.002619028091430664,1,0
STO,0.7979,0.492,0.649,0.1111,0.004256248474121094,0.002619028091430664,1,0
Rand,0.7793,0.4614,0.8345,0.8889,0.004318714141845703,0.002619028091430664,1,0
SFE,0.0,0.0,0.4965,0.3333,0.0,0.0,1,0
SFD,0.0,0.0,0.7034,0.1111,0.0,0.0,1,0
CPF,0.6482,0.4506,0.2473,0.3333,0.004792690277099609,0.0027022361755371094,1,1
