,gid,k,lower,upper
0,1.0,0.0,149.59769567145145,198.27509390067786
1,2.0,0.0,284.51529264132796,457.62393645884373
2,3.0,0.0,415.05230292915354,592.5467556071542
3,4.0,0.0,221.5605866857703,323.51335037840005
4,1.0,1.0,136.26674503679143,177.1556926365226
5,2.0,1.0,232.58918987229154,376.11557505093316
6,3.0,1.0,326.92164564627694,472.5501873812046
7,4.0,1.0,198.64807055438814,294.33801573795904
8,1.0,2.0,135.59081986362443,174.06048883946727
9,2.0,2.0,210.25385007357195,342.8345353415652
10,3.0,2.0,287.7538846268328,415.4149166421838
11,4.0,2.0,196.48140420728916,291.73274537900016
12,1.0,3.0,135.41803963165614,173.61826912555264
13,2.0,3.0,196.57414156556771,321.03852971584814
14,3.0,3.0,264.4865882532796,379.7259731866474
15,4.0,3.0,196.35933319736782,291.6483767152546
16,1.0,4.0,135.9084383994651,174.1056493674897
17,2.0,4.0,184.37974678576336,292.2567137715936
18,3.0,4.0,253.47150681939456,361.2702345857735
19,4.0,4.0,195.83839087259705,290.91959204006116
20,1.0,5.0,125.42728384403273,155.3314468231827
21,2.0,5.0,192.93262633571618,310.9248781803967
22,3.0,5.0,274.97301830657875,395.40798317446524
23,4.0,5.0,172.05231611179647,261.26159609934217
24,1.0,6.0,130.27162717781934,166.29229426177548
25,2.0,6.0,201.46437266787157,325.9650345426698
26,3.0,6.0,279.58241559045194,401.73829067337545
27,4.0,6.0,182.9942705404993,274.4203260149129
28,1.0,7.0,143.09369567394086,184.62128328991017
29,2.0,7.0,218.71325120899144,357.8319283589462
30,3.0,7.0,294.8297188769593,428.4026266442502
31,4.0,7.0,206.41183178994723,304.5712437656807
32,1.0,8.0,151.12106013937003,196.22648576276663
33,2.0,8.0,225.12382339413074,369.9384386904811
34,3.0,8.0,305.4602792665406,446.9719651670094
35,4.0,8.0,213.84718175483508,313.6039570951441
36,1.0,9.0,156.71632622076646,204.5369025516429
37,2.0,9.0,233.8624559070581,384.40981923893395
38,3.0,9.0,320.60427858362635,469.8618884035758
39,4.0,9.0,219.8039388545023,320.75815692962504
40,1.0,10.0,134.92289838507972,173.07648486689953
41,2.0,10.0,210.54514393087172,343.38814780638415
42,3.0,10.0,287.31393150873157,415.17725647644414
43,4.0,10.0,196.25704705930494,291.63853382597466
44,1.0,11.0,135.28816858533204,173.79584558765143
45,2.0,11.0,209.92027300931338,342.52513289873826
46,3.0,11.0,288.5554931198154,416.8544450599253
47,4.0,11.0,197.48833333741902,292.8391618237803
48,1.0,12.0,134.82253939008265,172.84117171538702
49,2.0,12.0,210.90601103588776,343.73632974620085
50,3.0,12.0,287.0474723428499,414.1530924337108
51,4.0,12.0,196.9702496322268,292.14348726953455
52,1.0,13.0,134.88889972746327,173.14110219761298
53,2.0,13.0,210.52511352514162,343.0155035398422
54,3.0,13.0,287.3761242701768,414.6393216825452
55,4.0,13.0,196.98104625103488,292.4808290329137
