HEFT,CPF,ICRO,STO,Rand
0.0051,0.0088,0.0084,0.0081,0.0081
0.0052,0.0087,0.0084,0.0081,0.0082
0.0051,0.0086,0.0083,0.008,0.0081
0.0052,0.0086,0.0085,0.0081,0.0083
0.0052,0.0088,0.0085,0.0081,0.0083
0.0053,0.0087,0.0084,0.0083,0.0082
0.0053,0.0087,0.0085,0.0082,0.0083
0.0051,0.0086,0.0083,0.0081,0.0081
0.0052,0.0087,0.0084,0.0081,0.0082
0.0052,0.0086,0.0087,0.0081,0.0081
0.0062,0.0097,0.0105,0.0092,0.0091
0.0058,0.0095,0.0092,0.0087,0.0088
0.0051,0.0086,0.0083,0.008,0.0081
0.0056,0.0091,0.0088,0.0085,0.0091
0.0052,0.0086,0.0084,0.0082,0.0081
0.0061,0.0096,0.01,0.009,0.0091
0.0052,0.0087,0.0083,0.0081,0.0082
0.0051,0.0086,0.0083,0.008,0.0081
0.0051,0.0086,0.0083,0.0081,0.0081
0.0052,0.0086,0.0083,0.0081,0.0081
0.0051,0.0087,0.0084,0.0081,0.0081
0.0052,0.0086,0.0083,0.0081,0.0081
0.0051,0.0086,0.0083,0.0081,0.008
0.0051,0.0086,0.0083,0.0081,0.0081
0.0052,0.0087,0.0084,0.0081,0.0082
0.0052,0.0086,0.0083,0.0081,0.0082
0.0051,0.0087,0.0084,0.0081,0.0081
0.0051,0.0087,0.0084,0.0081,0.0081
0.0051,0.0086,0.0084,0.0081,0.0081
0.0051,0.0086,0.0083,0.008,0.0082
0.0051,0.0091,0.0085,0.0083,0.0081
0.0052,0.0086,0.0084,0.0081,0.0081
0.0051,0.0085,0.0083,0.008,0.008
0.0052,0.0087,0.0084,0.0081,0.0082
0.0051,0.0085,0.0083,0.008,0.0081
0.0051,0.0086,0.0083,0.008,0.008
0.0052,0.0086,0.0083,0.008,0.0081
0.0052,0.0087,0.0084,0.0082,0.0082
0.0052,0.0086,0.0084,0.0081,0.0081
0.0051,0.0085,0.0083,0.0081,0.0089
0.0067,0.0102,0.0099,0.0096,0.0096
0.0052,0.0087,0.0084,0.0082,0.0082
0.0052,0.0087,0.0085,0.0081,0.0082
