max,CPF,ICRO,STO,Rand
595.1679,404.2006,364.7494,498.8538,519.5838
623.8478,398.5442,332.7111,511.7361,486.2917
630.4295,463.617,432.22,531.7907,558.4035
615.7949,396.2626,331.6416,542.5734,536.7365
645.0638,500.6837,445.8588,562.1131,546.1707
649.1084,447.9296,410.8452,550.6895,566.4454
643.0635,459.4966,431.9261,525.8007,581.8349
622.5001,387.4535,370.7146,516.0299,507.7037
628.5262,436.2421,354.4927,535.4088,521.2577
624.1677,448.7824,414.6399,547.2247,537.7777
612.6156,402.9696,360.2039,505.2708,529.7036
647.2422,424.523,389.8552,542.5579,533.5419
605.9444,366.9743,352.2285,508.7518,532.9827
661.8873,518.872,425.7501,588.7273,544.4756
597.1469,388.9862,311.6068,476.4604,469.5177
600.4353,463.0371,361.9602,529.5065,533.7529
600.4016,457.319,356.5478,527.2888,507.7487
596.8227,367.9685,364.9337,497.3624,509.7056
646.216,473.8173,417.649,561.6498,601.2126
618.8615,453.2868,337.758,503.5533,525.3045
627.6296,405.3204,405.6871,528.897,562.2866
617.1312,409.7474,352.8547,510.1878,480.9694
661.0745,422.302,373.9832,529.2627,561.2915
646.497,428.0093,367.1953,544.7496,536.7905
714.4666,509.5223,459.2398,626.7361,654.3568
613.428,370.0241,423.1195,506.5835,530.6635
616.6758,452.6137,403.3436,542.7961,545.4119
646.3694,430.0675,432.7343,571.9433,547.4031
637.6897,449.8956,391.1128,545.8228,556.6759
643.3638,453.7627,441.4536,544.3457,583.0845
630.4781,401.6996,352.4757,488.7045,490.7684
629.5875,432.2901,347.8561,491.9738,504.25
634.1646,483.5809,395.6901,553.2403,552.6059
644.2494,453.6361,354.7882,572.0144,600.5681
643.3983,442.0362,446.3614,574.4141,574.5931
577.8301,371.5492,299.4719,464.2242,476.6314
581.5594,309.4337,336.0421,489.9875,479.2146
661.4071,478.5916,411.9225,571.449,554.0408
658.1613,467.5911,426.332,582.1785,605.2349
699.9023,435.3558,402.0702,563.0836,591.8259
678.3275,441.4394,464.0713,565.827,570.3079
643.3371,430.4486,444.3513,555.4772,565.221
610.3026,424.4861,390.1247,514.7725,553.5166
639.7119,472.8584,426.4521,552.1056,537.2517
653.9138,504.8589,438.3495,574.0986,602.3088
624.6515,426.5298,353.6486,543.5769,550.6775
643.2518,432.9025,363.6813,484.4243,550.2049
629.5259,466.921,371.096,538.5747,557.4707
594.9049,400.769,355.6673,474.4262,459.9726
587.4907,357.6018,340.6293,503.1471,481.3267
638.8558,434.687,403.2763,557.6701,524.7041
610.1646,452.1832,394.3561,528.1783,562.2953
616.7962,427.7021,380.5863,524.7227,519.6645
644.9191,425.1698,446.2494,569.4565,551.2216
683.6943,446.9235,440.1515,575.4938,571.9352
643.7879,437.1544,385.7525,532.6432,549.7802
585.8931,399.2019,354.3884,521.985,539.8651
599.2172,419.6079,373.115,486.3909,508.7858
615.3351,436.9366,364.6975,524.6109,541.8942
596.3049,377.6616,390.4281,496.3687,511.5326
621.0846,459.6227,345.9453,551.6129,568.5144
638.5858,436.6793,407.6655,536.2812,541.7078
658.2499,450.5456,391.1533,581.6451,563.059
646.1117,405.6906,402.6093,549.752,553.6836
618.5994,375.9203,355.6595,521.6686,534.301
569.9612,393.174,380.5379,520.1579,522.0724
640.4577,464.031,404.0331,546.4137,553.3907
678.1969,462.8136,398.2044,581.1381,566.3211
622.4998,407.3788,378.8726,484.6047,525.0062
642.3656,437.9626,360.1541,538.7608,526.72
656.7013,465.8737,375.9137,550.3495,570.8678
625.6026,420.756,384.7429,549.8747,507.132
631.2134,446.5195,409.9741,559.4439,514.3247
578.1503,418.3189,339.6763,479.1079,484.1814
618.2517,450.3439,458.8265,561.907,545.5126
635.9424,469.283,384.2828,570.3415,564.5521
577.8632,424.684,350.4045,481.64,531.8261
620.0231,470.8869,383.767,526.1158,565.228
640.8723,438.8171,411.2354,591.5937,589.6401
607.9475,417.4459,345.4377,519.9731,532.15
643.074,440.2123,373.0312,567.5509,525.1949
593.72,389.2053,339.6834,519.8475,541.9546
584.5996,383.9191,348.0088,472.2682,486.0176
645.268,454.9866,364.4137,563.3947,584.7646
630.2655,396.4334,380.9793,491.2414,525.2824
662.9253,418.6394,390.4771,542.74,580.7797
602.2103,434.7133,343.6908,542.0274,548.0655
650.4031,495.2519,428.0956,586.3927,592.0883
661.2062,430.0377,444.9809,564.1348,556.1653
614.1132,419.7802,367.8487,547.3476,555.0131
619.8443,429.0921,389.4786,518.8663,547.2549
583.2902,392.1713,307.3882,501.0565,479.8726
603.7178,389.742,370.7876,512.5884,488.0845
620.9142,493.3687,372.0632,541.5808,550.5257
587.6086,399.1607,315.7502,507.6403,507.1586
637.0131,465.8393,457.1792,530.089,560.0941
639.0791,440.4027,422.7671,556.8255,560.1435
681.0724,422.7478,433.6789,593.9122,564.278
632.7856,437.3979,449.2249,509.7657,538.7079
667.4848,454.4319,509.5737,592.4581,619.2084
617.2132,441.6822,379.2199,538.0116,516.8873
608.0772,424.7781,407.7262,494.3126,543.7035
657.7753,426.2849,382.2912,557.0631,556.515
639.1659,440.9932,393.8705,534.3314,548.6488
646.8346,420.8985,387.6102,537.3433,544.8269
628.8129,454.2029,425.7851,564.2279,559.5434
674.6886,517.715,415.5723,600.1745,614.5457
638.036,415.5578,390.6947,539.3428,557.8029
641.2453,435.4241,368.7603,517.7512,542.4595
596.8991,388.3354,356.8579,452.7457,475.3019
623.7745,412.8817,397.737,550.2692,522.739
611.7715,376.4713,368.1803,534.517,544.5745
643.7783,486.1436,430.296,584.6817,571.1998
634.8511,428.4447,353.739,547.6057,550.8272
591.2289,388.0202,313.3193,514.7249,548.6137
583.8868,441.7451,404.1807,502.0404,471.8718
589.9427,384.3999,346.7602,515.5439,518.5278
594.6146,441.116,389.8169,519.8645,543.8239
620.0171,392.4216,388.7149,516.9955,550.7115
653.4793,480.5021,402.7921,550.0041,542.5512
622.1223,475.3261,383.8135,526.7677,512.9056
669.7158,478.1798,421.7201,563.4815,585.6666
662.1059,476.9918,413.3737,577.0476,554.8516
613.041,418.8037,375.2221,557.963,562.9768
619.164,387.0876,358.5629,532.0515,531.0489
631.3671,353.8179,363.6727,503.0679,536.6402
668.0648,434.5372,354.5842,550.2419,576.1798
632.8643,463.6713,399.3249,548.1931,565.2466
661.3917,437.3607,398.2601,553.4522,584.5323
605.1946,416.7965,384.593,526.9115,541.3583
577.2179,324.8205,350.8027,465.4658,493.7002
643.2224,483.151,420.8986,575.0565,557.9059
620.7581,377.3462,353.5934,512.8407,508.663
617.7174,378.4347,384.3681,529.2622,519.3907
660.9817,466.0485,436.5558,589.2783,597.407
641.2035,419.4866,355.7137,575.6438,598.2499
680.6454,489.7536,449.4243,599.404,595.4839
610.2918,427.6375,364.2771,519.4818,492.2854
589.4333,411.3585,378.967,518.8983,526.3527
580.4508,453.1713,352.2246,483.1801,513.949
578.4453,351.8679,302.2045,475.718,463.7654
622.5158,455.3411,383.9978,513.2896,539.7712
639.9559,425.4015,341.518,523.8256,529.566
585.5985,371.9062,383.428,520.0596,506.6378
626.5186,394.4298,347.9516,516.9303,494.6236
638.4096,439.1184,428.9806,541.4289,548.1043
641.2428,443.2568,382.53,536.5631,563.4062
675.3091,468.1824,426.9034,568.2616,545.6344
639.4689,480.9992,392.3551,576.544,570.8678
642.6537,477.4126,407.5711,584.9441,599.5884
563.6425,397.3164,378.9773,483.5749,496.5937
627.9192,483.9586,378.3951,553.4313,556.9626
605.0991,405.9969,365.3362,497.2025,494.9284
687.6928,485.847,407.0693,567.0673,579.2882
623.8674,414.5545,387.5274,523.3702,528.6706
582.1778,387.1125,333.0765,503.8328,478.0563
630.9895,449.2938,385.0325,541.5959,535.4532
616.1815,419.6973,426.3007,548.0607,531.659
634.2794,484.4435,376.8842,567.4126,552.8264
639.0267,468.6628,327.5496,520.6319,525.2345
645.9392,473.2297,398.847,564.8516,537.5232
558.5561,424.8506,374.6835,499.1684,456.3473
645.421,446.9829,399.3582,546.3264,562.5414
639.8974,438.6181,411.6399,550.0527,558.3099
632.8204,369.7488,383.9411,497.8787,543.7571
607.1617,482.6843,341.7485,529.0485,541.9215
584.7903,437.9509,376.6241,499.6883,511.2896
604.5731,462.158,399.6197,546.4877,541.7202
666.327,490.0351,402.1278,578.4662,586.331
660.3903,493.3204,419.4708,576.0098,589.294
594.7621,369.9417,360.625,526.3822,538.3356
609.2006,480.3842,423.1105,529.7842,539.5024
656.6006,442.6833,350.2535,553.4505,565.7672
639.8365,414.3034,393.1716,570.511,570.7346
621.7266,398.5269,379.8203,536.1589,548.8221
619.1666,439.7148,396.0961,552.2955,547.0959
619.9977,456.7515,458.259,542.2893,537.0423
600.2461,425.4952,339.8423,482.2983,509.9557
640.6716,423.5815,395.9223,560.4841,550.1118
581.9293,461.4037,336.6967,476.1173,510.7898
641.026,457.2394,410.4314,549.9076,561.3405
607.2142,437.275,393.8362,514.9941,540.4197
594.3135,435.7095,349.274,526.9144,547.477
658.0622,430.068,447.6183,566.9842,570.6258
678.9813,448.4815,406.5013,570.3882,579.7431
643.2667,470.468,419.0632,546.905,539.3741
678.2596,474.2841,447.8021,595.5403,616.3657
650.8418,458.8399,450.7143,560.2262,563.3361
652.8414,431.4541,398.7946,553.143,571.0679
603.9206,385.7894,374.3579,544.2903,559.5942
637.3219,482.4717,380.7237,528.5584,547.0486
631.745,377.5037,371.2557,566.5801,575.65
624.2803,437.9586,376.1284,522.9055,542.5929
635.0574,432.6639,381.4169,537.6949,562.1197
654.5072,450.7249,413.7175,556.9098,576.0818
615.6578,445.8589,418.9697,534.2905,542.6024
