max,min,CPF,ICRO,STO,Rand
242.7234,153.2736,0.6046,0.7264,0.8553,0.8216
268.1471,167.0527,0.6191,0.6023,0.8633,0.9383
283.0787,150.1392,0.5171,0.6536,0.6532,0.8833
246.473,150.6149,0.6187,0.5868,0.8255,0.9652
245.0663,138.0066,0.6467,0.6043,0.716,0.9215
265.233,177.115,0.7064,0.5721,0.7589,0.8094
254.2823,142.9291,0.7382,0.5663,0.8786,0.7983
251.3925,150.6061,0.493,0.6464,0.7525,0.9125
257.5161,168.3413,0.6173,0.6288,0.7318,0.8107
258.496,157.7248,0.6095,0.6184,0.7966,0.8403
274.0308,176.9424,0.6764,0.6588,0.7733,0.8347
277.9692,164.6483,0.6111,0.6485,0.8269,0.9321
244.6949,146.733,0.5092,0.6684,0.7749,0.8599
258.3995,156.6386,0.6547,0.5598,0.8115,0.8463
239.5971,167.6915,0.5766,0.4666,0.813,0.9928
239.6937,148.8629,0.687,0.5396,0.7345,0.9445
261.3769,176.2842,0.6167,0.6871,0.7787,0.8764
274.4798,174.1135,0.6041,0.639,0.6835,0.9062
260.5548,154.4888,0.6282,0.5747,0.7114,0.7658
267.024,169.2983,0.5004,0.5964,0.6494,0.9727
266.7322,173.3951,0.642,0.5629,0.7192,0.844
252.9259,166.7368,0.6355,0.561,0.7202,0.8361
216.4527,134.9545,0.4773,0.6167,0.7974,0.8789
248.5591,165.4898,0.677,0.6036,0.7333,0.8484
237.4851,138.5156,0.6181,0.5443,0.8319,0.8083
248.5173,156.2948,0.5626,0.5619,0.6965,0.9699
241.2349,159.0988,0.5263,0.7001,0.6961,0.8443
268.1081,156.6692,0.4654,0.6594,0.8199,0.8509
249.6492,161.2916,0.5012,0.6838,0.7272,0.8946
230.2636,158.1156,0.5988,0.5499,0.7902,0.7592
266.074,160.8439,0.6694,0.5499,0.8078,0.8882
263.9668,171.4933,0.5163,0.5593,0.7634,0.853
245.6897,148.9012,0.6259,0.5867,0.7017,0.8951
258.3601,163.0797,0.6266,0.5647,0.7516,0.8417
263.1917,171.276,0.6712,0.5593,0.6485,0.9668
256.4892,157.4774,0.6848,0.5749,0.7767,0.9032
272.4878,179.5956,0.7489,0.604,0.8578,0.8929
261.7179,164.6679,0.4934,0.6092,0.6884,0.8275
265.949,160.2277,0.552,0.5733,0.6804,0.7598
261.9208,179.8716,0.5914,0.5908,0.8488,0.9299
230.8218,137.8015,0.4874,0.378,0.7521,0.7259
259.7204,169.0734,0.5642,0.7502,0.9218,0.8772
253.0581,162.3628,0.622,0.4836,0.8245,0.8324
271.9724,180.6473,0.6027,0.3979,0.674,0.9206
277.9607,180.1184,0.6134,0.4083,0.7519,0.9287
266.5534,165.7897,0.6038,0.6415,0.7686,0.7555
242.8222,155.1772,0.6953,0.5819,0.8076,0.8426
256.009,164.4964,0.541,0.6208,0.8252,0.8595
259.6965,157.8392,0.6287,0.5988,0.7729,0.8234
242.7807,155.0599,0.5969,0.6064,0.8888,0.8028
261.6291,174.8488,0.6261,0.4828,0.7368,0.9019
261.4766,155.1459,0.6678,0.696,0.8475,0.8398
285.5958,168.1826,0.5214,0.5151,0.7065,0.7392
273.7893,186.9124,0.5742,0.5977,0.732,0.8171
277.1577,188.8062,0.5474,0.579,0.8491,0.8673
295.0209,176.1282,0.6311,0.6531,0.8407,0.9269
261.6098,156.4034,0.5404,0.6528,0.7629,0.9518
241.504,155.2278,0.6073,0.5428,0.6956,0.9675
266.0009,169.042,0.7068,0.6173,0.7709,0.8217
257.5238,162.234,0.5649,0.5337,0.8623,0.9124
265.7918,162.6034,0.673,0.5501,0.8475,0.9301
249.6352,161.3176,0.7179,0.6314,0.8223,0.8484
254.7693,154.0256,0.5326,0.5568,0.8149,0.8691
245.4213,147.3152,0.567,0.6706,0.7404,0.8609
268.3966,158.0361,0.6664,0.6159,0.7613,0.9162
259.939,172.8221,0.4411,0.5863,0.75,0.7756
252.5637,157.5112,0.664,0.6583,0.7325,1.0
255.6936,166.0597,0.6115,0.7358,0.6703,1.0
235.6382,141.896,0.597,0.4909,0.85,0.8917
255.6137,171.9665,0.5352,0.6099,0.7097,0.8095
255.2273,156.2002,0.5445,0.6206,0.7576,0.9352
246.1022,154.5576,0.6816,0.4236,0.7647,0.812
245.2443,147.8893,0.5534,0.5448,0.7842,0.8121
235.5206,150.8401,0.5546,0.7205,0.7734,0.8209
278.1959,173.4327,0.6799,0.5327,0.7543,0.8326
266.7864,165.6327,0.5352,0.6593,0.7221,0.8955
264.3117,165.174,0.6773,0.5557,0.7275,0.8197
258.1911,154.9916,0.5507,0.5908,0.71,0.8595
253.1609,163.8806,0.5494,0.5773,0.7407,0.9613
258.367,161.7027,0.6656,0.7112,0.7137,0.9464
230.0023,144.3262,0.6037,0.4741,0.6793,0.817
262.8879,165.6679,0.5828,0.5302,0.7996,0.807
258.1209,161.6594,0.5241,0.5428,0.7084,0.8838
267.2319,162.3023,0.6921,0.617,0.7134,0.9635
253.1834,162.0229,0.5444,0.4411,0.8343,0.8201
256.3093,149.3726,0.6679,0.4629,0.7368,0.9584
244.1174,148.3641,0.5373,0.6626,0.9244,0.8623
232.5232,146.951,0.6592,0.6203,0.7628,0.858
271.0468,164.6958,0.5526,0.5335,0.8659,0.8477
272.3725,172.6952,0.5819,0.6427,0.8338,1.0
242.8857,158.6555,0.6368,0.7769,0.7202,0.8703
256.2195,165.0855,0.5828,0.5535,0.8045,0.9603
256.8481,162.5116,0.5941,0.5543,0.7229,0.8368
255.915,148.1779,0.5866,0.6286,0.7157,0.9792
236.7849,146.3023,0.5034,0.6345,0.7199,0.9215
254.1446,161.2532,0.63,0.7083,0.7456,0.9434
257.2184,172.9045,0.6265,0.5908,0.7578,0.8814
262.4195,170.0493,0.5535,0.4798,0.7847,0.9172
247.4943,162.6599,0.5546,0.6234,0.7709,0.9342
277.1199,173.7152,0.5283,0.574,0.7881,0.7609
245.4007,144.5921,0.5912,0.7359,0.8491,0.9133
251.5583,152.723,0.5492,0.6087,0.6148,0.8102
242.5092,161.9154,0.4348,0.6241,0.7218,0.8938
239.3853,152.3448,0.5754,0.5185,0.7108,1.0
246.0093,150.2406,0.5556,0.5353,0.7668,0.8044
254.9056,158.1097,0.6164,0.5737,0.7702,0.8909
263.8211,156.2603,0.6855,0.4135,0.8332,0.8855
249.4243,156.764,0.6413,0.5512,0.721,0.9516
250.4969,168.8497,0.5765,0.6322,0.8506,0.9592
253.3011,169.3087,0.5522,0.5867,0.8956,0.855
273.7116,166.3703,0.4815,0.4922,0.7366,0.7777
237.205,145.9865,0.608,0.629,0.6812,0.8046
254.9338,165.7202,0.5299,0.6163,0.6009,0.902
236.4349,146.7993,0.6697,0.5055,0.8539,0.9009
293.1551,178.1989,0.5601,0.5218,0.7365,0.8893
271.6033,168.149,0.5587,0.551,0.8414,0.8364
260.0467,169.2159,0.5827,0.5848,0.6762,0.8575
265.3657,159.2126,0.6593,0.63,0.8296,0.9106
281.2865,171.9977,0.5884,0.683,0.7333,0.9091
271.199,173.3972,0.5468,0.5508,0.7534,0.9197
247.4281,148.9852,0.6283,0.5343,0.8988,0.8384
267.4952,188.7759,0.4952,0.437,0.7567,0.7431
253.1991,160.5899,0.7095,0.5804,0.8273,0.9519
237.2493,157.9712,0.6514,0.6918,0.8289,0.8576
251.0771,164.1798,0.6191,0.5866,0.7969,0.8909
230.935,141.5884,0.5648,0.5932,0.6642,0.8657
249.0736,147.1294,0.5943,0.6396,0.8278,0.8414
240.4669,146.391,0.4983,0.7224,0.8666,0.9118
254.3771,151.8178,0.5378,0.6273,0.7091,0.8483
218.4793,144.1759,0.6318,0.6739,0.8466,0.8067
253.5159,147.3736,0.6915,0.4993,0.8084,0.842
253.386,159.9806,0.6022,0.4828,0.6569,0.8276
267.191,170.0815,0.5716,0.6135,0.7538,0.8834
265.3433,169.8718,0.5951,0.4329,0.7822,0.9574
273.5397,166.7231,0.4958,0.5441,0.7868,0.8453
271.7717,160.6982,0.5821,0.6602,0.701,0.6856
221.7127,135.1545,0.5872,0.5318,0.8152,0.9918
265.3529,163.2937,0.6332,0.6481,0.8604,0.8692
249.4287,156.8101,0.7254,0.7145,0.7763,0.8963
264.7108,165.1693,0.6308,0.6219,0.7855,0.9066
257.8843,151.9386,0.5929,0.6201,0.7387,0.7022
236.9268,148.8122,0.645,0.5998,0.7189,0.799
247.5083,163.0283,0.7193,0.5935,0.7238,0.8879
256.358,167.6405,0.6824,0.6133,0.8036,0.9209
254.7101,170.9199,0.6546,0.4867,0.7796,0.8678
257.496,157.3281,0.6763,0.6422,0.659,0.9086
273.5195,183.1686,0.6596,0.4884,0.7424,0.9352
235.415,152.5882,0.5623,0.5896,0.8261,0.8545
257.8518,158.9023,0.7006,0.6166,0.8117,0.9726
257.1187,158.1259,0.4553,0.5909,0.7186,0.8735
249.3789,160.179,0.5276,0.5486,0.7798,0.8917
251.0531,170.6365,0.6108,0.6631,0.729,0.9058
233.4392,140.408,0.6467,0.6211,0.7673,0.9131
256.1382,159.7969,0.571,0.5827,0.7442,0.9536
260.8762,163.9844,0.6359,0.6867,0.7968,0.8361
259.9258,161.3496,0.5141,0.6477,0.7217,0.8764
260.9166,164.4079,0.5177,0.6187,0.7639,0.9027
244.3773,148.0326,0.6359,0.6309,0.8365,0.87
241.7075,152.8634,0.6296,0.6274,0.8142,0.8637
249.9524,157.63,0.5834,0.5725,0.8445,0.9488
239.8616,159.5813,0.5182,0.6308,0.7943,0.8997
294.3823,170.6676,0.6221,0.6729,0.7846,0.9576
241.6883,152.7263,0.5392,0.5017,0.7804,0.7717
262.8234,162.6075,0.7103,0.4839,0.6318,1.0
231.8837,143.0394,0.7369,0.4936,0.7135,0.9589
229.8431,140.1201,0.6028,0.6273,0.7145,0.8545
260.4676,167.5565,0.6618,0.7008,0.8282,0.9568
242.9922,144.2465,0.5,0.4812,0.7827,0.9009
247.889,157.2955,0.6422,0.6611,0.7795,0.951
248.786,159.4997,0.568,0.4701,0.7105,0.9025
292.2101,185.4199,0.5915,0.6147,0.7419,0.9401
278.9391,194.3999,0.7745,0.7136,0.7591,0.9102
245.9529,159.8582,0.6095,0.5516,0.8712,0.9799
270.3623,177.569,0.5475,0.5667,0.8854,0.7963
256.0029,163.2076,0.6447,0.5236,0.7846,0.9287
265.1991,179.3187,0.6601,0.5999,0.8191,0.943
220.0328,134.6812,0.5835,0.7116,0.7743,0.9339
259.4005,155.3888,0.5925,0.5378,0.7205,0.8856
244.3293,145.8751,0.6069,0.5519,0.7012,0.9409
239.7055,160.1216,0.6189,0.5265,0.7544,0.8447
241.5059,150.5762,0.5993,0.66,0.7554,0.964
269.164,176.9108,0.5657,0.5119,0.7577,0.7879
247.8865,152.4926,0.4184,0.4679,0.6809,0.871
257.739,156.6235,0.5942,0.5404,0.802,0.9017
257.6024,163.4662,0.6395,0.6343,0.8117,0.9769
263.8044,160.5891,0.5907,0.5247,0.7331,0.9157
288.7194,184.4216,0.5905,0.5112,0.796,0.8587
234.7176,148.7223,0.6237,0.4639,0.8301,0.9344
260.2519,165.6977,0.5298,0.575,0.774,0.913
233.7003,137.6463,0.4472,0.6891,0.7309,0.8438
235.0485,157.5572,0.5405,0.6063,0.7083,0.7738
282.6646,184.412,0.6066,0.6684,0.7687,0.9195
243.6377,150.4466,0.6084,0.5685,0.8691,0.7479
264.182,156.923,0.5131,0.6871,0.8434,0.9267
263.7363,166.3168,0.664,0.6881,0.8293,0.8982
251.5595,153.3455,0.6002,0.6205,0.8146,0.768
252.2913,155.008,0.5785,0.7616,0.733,0.9616
232.1551,143.797,0.612,0.6051,0.6983,0.9629
252.904,159.227,0.5793,0.5328,0.756,0.9554
264.1599,168.634,0.5386,0.711,0.7463,0.7901
276.4893,170.5238,0.4975,0.5824,0.7309,0.7792
254.1388,156.0684,0.5757,0.5094,0.8176,0.7629
256.8943,167.4402,0.6736,0.5949,0.7035,0.775
265.0403,170.6944,0.5908,0.715,0.7309,0.8603
264.313,171.36,0.6986,0.5475,0.7732,0.7767
255.6795,167.8065,0.5722,0.5604,0.7766,0.8805
232.0945,150.1127,0.5605,0.4837,0.7758,0.8027
251.4811,157.0957,0.5929,0.5989,0.713,0.8677
255.8007,156.3268,0.5692,0.6065,0.8648,1.0
258.8122,166.4735,0.5695,0.5755,0.7781,0.9024
253.1168,150.4488,0.6107,0.6921,0.7484,0.9406
249.5214,150.4129,0.6772,0.6461,0.7398,0.9444
273.3916,179.1971,0.7178,0.6381,0.8038,0.8982
250.9672,158.5065,0.6386,0.6883,0.6929,0.8364
280.353,184.9004,0.6996,0.6448,0.7811,0.8681
231.9578,152.837,0.6512,0.6614,0.8019,0.9703
263.9684,159.4817,0.6223,0.5832,0.6773,0.8414
240.6807,153.6052,0.573,0.4821,0.6691,0.857
277.5306,167.86,0.6137,0.6016,0.7091,0.9673
278.3786,172.0467,0.5591,0.5941,0.9109,0.929
255.1552,167.8089,0.6694,0.5432,0.6793,0.9148
253.4809,156.1696,0.5133,0.4499,0.7862,0.6852
257.8519,170.4585,0.7515,0.6802,0.8302,0.7872
240.8861,158.9229,0.5937,0.4739,0.816,0.9094
248.7022,157.9047,0.6638,0.5183,0.7308,0.9278
252.3814,164.5524,0.6007,0.5726,0.7009,0.9094
236.3033,155.3471,0.7303,0.7112,0.8119,0.9037
265.9925,171.5907,0.5312,0.4764,0.7554,0.8751
240.1138,155.7995,0.7002,0.7059,0.8585,0.8496
269.5338,167.4243,0.5726,0.5703,0.805,0.8721
234.08,154.1752,0.6115,0.5872,0.8142,0.9192
273.3656,184.7089,0.5642,0.5687,0.784,0.9348
282.2653,180.1905,0.5071,0.525,0.7691,0.8729
258.6331,161.0576,0.5612,0.6083,0.7915,0.7733
271.1387,188.0006,0.5101,0.6404,0.6847,0.8663
254.398,156.2902,0.596,0.5867,0.7199,0.8623
275.7324,172.0549,0.5806,0.5065,0.8071,0.7883
253.5791,168.7771,0.5775,0.6283,0.823,0.9194
250.2768,161.775,0.6301,0.6504,0.7277,0.8118
273.2982,172.6368,0.7025,0.7121,0.7583,0.9156
250.6552,171.1792,0.74,0.5618,0.7904,0.8848
251.1065,154.3348,0.6088,0.6104,0.7136,0.9283
255.6208,152.5546,0.6738,0.5881,0.864,0.8256
270.8174,166.4783,0.5846,0.4951,0.7721,0.955
249.4251,153.5822,0.5744,0.5291,0.835,0.922
261.2313,173.3274,0.6687,0.698,0.7078,0.8525
256.7853,155.2794,0.4826,0.517,0.7259,0.8701
265.2457,170.6801,0.6118,0.5107,0.7149,0.7642
271.6717,167.4457,0.7099,0.5776,0.7173,0.9357
259.0605,165.9541,0.595,0.5475,0.7809,0.8094
255.5509,152.8527,0.5721,0.4511,0.6758,0.8558
227.9356,150.2844,0.5781,0.5835,0.7818,0.8699
251.1779,163.971,0.6143,0.5965,0.7303,0.9255
248.3433,151.9934,0.6784,0.4898,0.8165,0.8752
255.8019,149.3114,0.6159,0.3929,0.804,0.682
247.1416,152.1233,0.6145,0.418,0.7592,0.8821
249.646,153.006,0.5794,0.4599,0.7136,0.8791
257.4248,172.3967,0.6427,0.5296,0.8511,0.8834
241.7988,147.8764,0.6282,0.6181,0.8029,0.8238
268.6255,157.7267,0.5412,0.6336,0.8763,0.8641
248.7745,151.618,0.4911,0.4336,0.7759,0.867
262.0133,158.9994,0.6466,0.608,0.6806,0.8947
250.4263,169.2059,0.5864,0.4965,0.774,0.951
267.1437,164.2709,0.4474,0.4334,0.7483,0.8969
269.7166,176.9199,0.5886,0.55,0.7624,0.8689
248.2873,154.899,0.6007,0.6892,0.753,0.8937
275.0569,172.6795,0.588,0.5808,0.8893,0.951
250.2963,157.0275,0.634,0.4999,0.8298,1.0
